Title,Summary,Time
Νέα απεργία - 16 Ιουνίου - από τα ναυτεργατικά σωματεία," Αναμένεται η στάση που θα κρατήσουν αυτή τη φορά οι ακτοπλόοι (ΣΕΕΝ) και εάν θα προσφύγουν στη δικαιοσύνη όπως έκαναν και στις προηγούμενες απεργιακές κινητοποιήσεις, ζητώντας να κηρυχτούν «παράνομες και...","14.06.2021, 13:05"
Ν. Φίλης για συνέδριο γονιμότητας και εργασιακό ν/σ Χατζηδάκη, Σκληρή κριτική στο νομοσχέδιο Χατζηδάκη για τα εργασιακά που συζητείται στη βουλή εξαπέλυσε ο τομεάρχης Παιδείας του ΣΥΡΙΖΑ-Π.Σ. Νίκος Φίλης.,"14.06.2021, 12:29"
ΑΔΕΔΥ: 24ωρη απεργία στις 16 Ιουνίου ," Η Εκτελεστική Επιτροπή της ΑΔΕΔΥ, αφού έλαβε υπόψη της τις προτάσεις-αποφάσεις ομοσπονδιών και νομαρχιακών τμημάτων, μετατρέπει τη στάση εργασίας της 16ης Ιουνίου σε 24ωρη απεργία την ίδια μέρα, αντιδρώντας...","14.06.2021, 11:14"
Στην Ολομέλεια η μεγάλη αναμέτρηση για την εργασία [LIVE] , Στη Βουλή το εργασιακό νομοσχέδιο που φέρει τη σφραγίδα του Κωστή Χατζηδάκη και έχει δικαίως χαρακτηριστεί «έκτρωμα».,"14.06.2021, 09:37"
"Γραβάτες, ιεράρχες, Ομογένεια, τουρισμός και υπογεννητικότητα ", Πριν ακόμα ξεκινήσει έχει ουσιαστικά αν όχι και τυπικά τιναχτεί στον αέρα το φιλόδοξο «1ο Πανελλήνιο Συνέδριο Γονιμότητας και Αναπαραγωγικής Αυτονομίας: Ορια και Επιλογές».,"14.06.2021, 08:40"
Ακονίζουν τα ξίφη τους στο ΚΙΝ.ΑΛΛ., Για μία εβδομάδα κοινοβουλευτικών μαχών και σύγκρουσης με την κυβέρνηση με επίκεντρο το νομοσχέδιο για τα εργασιακά που ψηφίζεται στην Ολομέλεια την Τετάρτη προετοιμάζονται στο Κίνημα Αλλαγής.,"14.06.2021, 06:30"
Νέα απεργία από τους ναυτεργάτες στις 16 Ιουνίου," Αποφασισμένοι να συνεχίσουν τις κινητοποιήσεις τους διατρανώνοντας την αντίθεσή τους στο εργασιακό νομοσχέδιο εμφανίζονται οι ναυτεργάτες, παρά τις δυο προσφυγές στη Δικαιοσύνη που κατέθεσαν κατά των δυο...","14.06.2021, 06:00"
Σε θέση μάχης για τα εργασιακά, Θέσεις μάχης παίρνει από σήμερα στη Βουλή ο ΣΥΡΙΖΑ - Π.Σ. εν όψει της συζήτησης στην Ολομέλεια του εργασιακού νομοσχεδίου της κυβέρνησης.,"14.06.2021, 06:00"
Ξεκινάει στη Βουλή η μάχη για το αντεργατικό νομοσχέδιο," Κατά της επιστροφής σε εργασιακό μεσαίωνα, σύσσωμη η αντιπολίτευση • Σοβαρές ενστάσεις διατυπώνει η Επιστημονική Υπηρεσία της Βουλής.","13.06.2021, 23:02"
"Εξωστρέφεια και οργανώσεις βάσης παντού, το επόμενο βήμα για το ΜέΡΑ25"," Την ανάγκη καλύτερης οργάνωσης των αποδήμων του ΜέΡΑ25, ίδρυσης και δημιουργίας νέων οργανώσεων βάσης παντού, καθώς και μεγαλύτερης εξωστρέφειας του κόμματος επισήμανε ο επικεφαλής του, Γιάνης Βαρουφάκης.","13.06.2021, 21:53"
Μαύρη τρύπα στα σχολεία με τα τεράστια κενά εκπαιδευτικών," Από το 2010 οι συνολικές αποχωρήσεις των εκπαιδευτικών από όλη την εκπαίδευση ξεπερνούν κατά πολύ τις 46.000, ενώ μέσα στην τελευταία πενταετία οι προσλήψεις αναπληρωτών αυξήθηκαν κατά 156%.","13.06.2021, 17:35"
Τα συνδικάτα απέδειξαν ότι παραμένουν όρθια, Το εργασιακό νομοσχέδιο στο «εδώλιο». Ηχηρό «όχι» από κοινωνία και αντιπολίτευση. Οι πολιτικοί αρχηγοί μιλούν στην «Εφ.Συν.»,"13.06.2021, 14:01"
Να ξεσκονίσω τον θρόνο σου;," Για να τελειώνουμε και μάλιστα εξαρχής: οι «δολοφόνοι» είμαστε εμείς. Μήτε οι τράπεζες μήτε οι κυβερνήσεις μήτε ο κακός θεούλης που μας μισεί. Εμείς. Αυτά, για να τελειώνουμε και μάλιστα εξαρχής.","13.06.2021, 11:00"
Ηλιόπουλος: Με εντολή Μητσοτάκη η φίμωση Τσίπρα στη Βουλή," Για «βαθύτατα φοβισμένη κυβέρνηση» κάνει λόγο ο εκπρόσωπος του ΣΥΡΙΖΑ-ΠΣ, τονίζοντας ότι ο πρωθυπουργός ενοχλήθηκε από το θέμα της ερώτησης του Αλέξη Τσίπρα, που ήταν τα δάνεια των κομμάτων.","12.06.2021, 19:27"
Ο δρόμος δίνει ώθηση στον ΣΥΡΙΖΑ," Οι επιθέσεις του Αλέξη Τσίπρα στον Κυριάκο Μητσοτάκη έχουν ενταθεί το τελευταίο διάστημα. Ολο και πιο συχνά ο αρχηγός της αξιωματικής αντιπολίτευσης βάζει στο κάδρο των ευθυνών τον πρωθυπουργό, κατηγορώντας...","12.06.2021, 16:10"
Ουραγοί στην ποιότητα απασχόλησης," Η Ελλάδα έχει τη χειρότερη επίδοση ως προς την ποιότητα της απασχόλησης στην Ε.Ε. και γι' αυτό σημαντικός παράγοντας αναδεικνύεται ο εβδομαδιαίος χρόνος εργασίας, τον οποίο τώρα επιχειρεί να παρατείνει η...","12.06.2021, 14:05"
Η σύγκρουση δύο κόσμων," Αν συγκρίνει κανείς όσα λένε τα κυβερνητικά στελέχη στους βολικούς μονολόγους τους σε πρόθυμα μέσα ενημέρωσης, τα οποία πρόσφεραν βήμα ακόμη και την...","12.06.2021, 09:15"
Ηχηρό «Όχι» από κοινωνία και αντιπολίτευση στο εργασιακό νομοσχέδιο," Το Θέμα της «Εφ.Συν.»: Το νομοσχέδιο-οδοστρωτήρας της Ν.Δ. και η απάντηση των εργαζομένων • Διεθνή: Τι γυρεύει ο Μπάιντεν από Ευρωπαίους και Τούρκους • Συνεντεύξεις: Γιάννα Αγγελοπούλου - Δασκαλάκη, Τάκης...","12.06.2021, 08:09"
«Οχι» από την Ενωση Δικαστών και Εισαγγελέων στο νέο εργασιακό νομοσχέδιο, Την αντίθεσή της στο νέο εργασιακό νομοσχέδιο εκφράζει η Ενωση Δικαστών και Εισαγγελέων με μια σημαντική παρέμβαση με την οποία τονίζει ότι πρόκειται για «σημαντική θεσμική οπισθοδρόμηση και θα διευρύνει την...,"12.06.2021, 06:00"
Το ΚΚΕ χαιρετίζει την απεργιακή κινητοποίηση και καλεί σε νέες μάχες," Σε κλιμάκωση του αγώνα για «να πεταχτεί στα σκουπίδια» το εργασιακό νομοσχέδιο Χατζηδάκη, καλεί το ΚΚΕ, με νέες, πιο μαζικές απεργιακές μάχες και συγκεντρώσεις.","11.06.2021, 13:20"
Κυρανάκης: Θα μπορείτε τώρα να δουλεύετε υπερωρίες για να πάτε στον γιατρό," Αδιανόητα επιχειρήματα για ακόμη μια φορά από τον βουλευτή της Ν.Δ., ο οποίος είτε αγνοεί πλήρως τα ισχύοντα εργασιακά δικαιώματα ή αδιαφορεί παντελώς για αυτά.","11.06.2021, 13:10"
Συλλαλητήρια και στην Κρήτη - Μαζικό ΟΧΙ στο νέο εργασιακό νομοσχέδιο," Με μεγάλη συμμετοχή και με βασικό αίτημα την απόσυρση του νέου εργασιακού νομοσχεδίου του Υπουργείου Εργασίας, πραγματοποιήθηκαν την Πέμπτη τα συλλαλητήρια στην Κρήτη στο πλαίσιο της 24ωρης απεργίας της 10ης...","11.06.2021, 09:41"
Στο Πειθαρχικό στέλνει η ΕΣΗΕΑ τους απεργοσπάστες του ΣΚΑΪ," Tον Γενικό Διευθυντή Ενημέρωσης του ΣΚΑΪ, Βασίλη Παπαδρόσο, και τον δημοσιογράφο, Νίκο Υποφάντη, παραπέμπει η ΕΣΗΕΑ και ζητά τη διερεύνηση τυχόν άλλων υπευθύνων","11.06.2021, 07:50"
Ο εργασιακός χρόνος ως αφαίρεση," Η τάση της εκμετάλλευσης των εργαζομένων ανά τους χρόνους αμβλύνθηκε μέσα από τις συλλογικές διεκδικήσεις των οργανώσεών τους και μέσα από τους, συχνά αιματηρούς, αγώνες τους.","11.06.2021, 06:30"
Η αρχαία πολιτική και το νομοσχέδιο, Το νομοσχέδιο για την εργασία αντί να βελτιώνει επιδεινώνει σχεδόν θανάσιμα το εργασιακό πλαίσιο και στην ουσία το σμπαραλιάζει.,"11.06.2021, 06:30"
Με μια φωνή: «Κάτω τα χέρια από το 8ωρο»," Εργαζόμενοι, φοιτητές, συνταξιούχοι, ιδιωτικοί και δημόσιοι υπάλληλοι βγήκαν στους δρόμους για να διαδηλώσουν την αντίθεσή τους στο εργασιακό νομοσχέδιο που προωθεί η κυβέρνηση και ο υπουργός Εργασίας, Κωστής...","11.06.2021, 06:23"
To αντεργατικό έκτρωμα Χατζηδάκη στο στόχαστρο κοινωνίας και αντιπολίτευσης," Συντονισμένη απεργιακή αντίδραση, πλημμυρίδα συλλαλητηρίων σε όλη τη χώρα / Οι «αόρατες» διατάξεις του νομοσχεδίου / Υγειονομικός εργασιακός μεσαίωνας / Πρύτανης πρόθυμος για όλα","10.06.2021, 05:20"
Η αντεργατική... κουρελού του Χατζηδάκη," Πλήθος δυσμενών διατάξεων καταργούν εργασιακά δικαιώματα, μειώνουν τις απολαβές και διευκολύνουν τις απολύσεις με το νέο αντεργατικό νομοσχέδιο.","10.06.2021, 05:15"
«Αντιμεταρρύθμιση του αιώνα», Σχεδόν ούτε έναν υπερασπιστή δεν βρήκε το εργασιακό νομοσχέδιο Χατζηδάκη στη χθεσινή «φαστ τρακ» ακρόαση των φορέων στην αρμόδια επιτροπή της Βουλής....,"10.06.2021, 05:15"
"Εμβολιαστείτε, αλλιώς απολύεστε", Η κυβέρνηση επιστρατεύει ευθέως την απειλή της εργοδοτικής αυθαιρεσίας και τρομοκρατίας για τους εργαζόμενους που δεν επιθυμούν να εμβολιαστούν κατά του κορονοϊού.,"10.06.2021, 05:15"
Η efsyn.gr συμμετέχει στην 24ωρη απεργία, Η ιστοσελίδα μας δεν θα μεταδίδει ειδήσεις από τις 05.30 της Πέμπτης έως τις 05.30 της Παρασκευής συμμετέχοντας στην απεργία που κήρυξε η ΕΣΗΕΑ.,"10.06.2021, 00:33"
Η ΚΟΕ για την απεργία ενάντια στο νέο εργασιακό νομοσχέδιο," «Απλήρωτες υπερωρίες, δουλειά τις Κυριακές, ωράρια και εργαζόμενοι λάστιχο. Απελευθέρωση απολύσεων και εργοδοτική αυθαιρεσία. Υποβάθμιση των δημόσιων ελεγκτικών μηχανισμών. Απαξίωση του συνδικαλισμού ως μέσου...","10.06.2021, 00:27"
"Τέλος Ιουνίου, λένε τώρα, οι εμβολιασμοί κατ' οίκον- Ανοίγουν 420.000 νέα ραντεβού ", Ο υπουργός είπε ότι ο εμβολιασμός των κατάκοιτων πολιτών θα γίνει με τη συμμετοχή ιδιωτών γιατρών και με το μονοδοσικό εμβόλιο της Johnson & Johnson.,"09.06.2021, 20:41"
ΣΥΡΙΖΑ: Δεσμευόμαστε ότι θα καταργηθεί το ν/σ Χατζηδάκη, «Τηλεπωλητή απλήρωτων 10ώρων» χαρακτήρισε τον υπουργό Εργασίας ο Ν. Ηλιόπουλος. «Ανοίγετε τον ασκό του Αιόλου» προειδοποίησε στη Βουλή ο Π. Σκουρλέτης.,"09.06.2021, 19:38"
Εργασιακό νομοσχέδιο: Σφυροκόπημα στη Βουλή από τους φορείς , Ακρόαση φορέων περιλαμβάνει η δεύτερη μέρα συζήτησης του αντεργατικού νομοσχεδίου Χατζηδάκη. Το νομοσχέδιο που εισάγεται την άλλη εβδομάδα στην ολομέλεια της Βουλής φιλοδοξεί να ξηλώσει και τα τελευταία...,"09.06.2021, 18:18"
Διαφοροποίηση του Οικονομικού Επιμελητηρίου για το αντεργατικό νομοσχέδιο , Ο πρόεδρος του Οικονομικού Επιμελητηρίου Ελλάδας Κωνσταντίνος Κόλλιας ζήτησε την ανάκληση της διάταξης για τη διευθέτηση του χρόνου εργασίας με ατομικές συμβάσεις και την κατάργηση της διάταξης για υπερωρίες...,"09.06.2021, 16:36"
"Αποδομούν τις εργασιακές σχέσεις, επιβάλλουν εργασιακό μεσαίωνα"," Ποιος ο λόγος να θελήσουν οι νέες και οι νέοι μας να εργαστούν σ’ ένα περιβάλλον που προάγει την εξουθενωτική και απλήρωτη εργασία με μειωμένες αποδοχές; Χαμένοι και οι άνεργοι, διότι το νομοσχέδιο ουσιαστικά...","09.06.2021, 16:00"
Εσάς τι σας νοιάζει;, Μας νοιάζει γιατί το Δημόσιο δεν είναι πια ο «ασφαλής εργασιακός τόπος» με τις καλές εργασιακές σχέσεις και τους υψηλούς μισθούς. Μας νοιάζει γιατί το νομοσχέδιο καθιστά το δικαίωμα συνδικαλιστικής δράσης...,"09.06.2021, 16:00"
Ο τουρισμός κατάπιε την αυτάρκεια," Το πολιτικό σύστημα, προσφέροντας «χάντρες και καθρεφτάκια» στους πολλούς, εξασφάλισε την ολοκληρωτική εξάρτηση του τόπου από τους προμηθευτές του τουριστικού «φορτίου» και από τους κατόχους του χρέους.","09.06.2021, 16:00"
Ενοχλεί τη Ν.Δ. η απλή αναλογική στα σωματεία συνταξιούχων," Για κάποια στελέχη της Νέας Δημοκρατίας δεν αρκεί η κατάργηση του εκλογικού συστήματος της απλής αναλογικής από την Τοπική Αυτοδιοίκηση με τον νόμο Βορίδη. Θέλουν να την ξηλώσουν από παντού, ακόμη και από τα...","09.06.2021, 14:35"
Βουλή: Πυρά ΓΣΕΒΕΕ-ΕΚΑ κατά του εργασιακού εκτρώματος Χατζηδάκη," Συντονισμένα πυρά από ΓΣΕΒΕΕ και ΕΚΑ κατά του νομοσχεδίου Χατζηδάκη, με αιχμή τις συλλογικές συμβάσεις εργασίας, τις υπερωρίες, αλλά και το δικαίωμα στην απεργία.","09.06.2021, 13:19"
ΠΑΜΕ: Το αντεργατικό νομοσχέδιο να πεταχτεί στα σκουπίδια, Με κεντρικό σύνθημα «το αντεργατικό νομοσχέδιο να πεταχτεί στα σκουπίδια» το Πανεργατικό Αγωνιστικό Μέτωπο καλεί στο μαζικό συλλαλητήριο ενάντια στο αντεργατικό νομοσχέδιο.,"09.06.2021, 11:42"
Live η συζήτηση για το αντεργατικό νομοσχέδιο στις επιτροπές της Βουλής," Στη σκιά της χθεσινής προκλητικής εμφάνισης του υπουργού Εργασίας, αλλά και με το βλέμμα στην αυριανή μεγάλη απεργία συνεχίζεται η συζήτηση για το νομοθετικό έκτρωμα Χατζηδάκη στις επιτροπές της Βουλής.","09.06.2021, 10:23"
Πρώτη «μάχη» για το αντεργατικό νομοσχέδιο," Στο πόδι όλη η χώρα αύριο ενάντια στο αντεργατικό νομοσχέδιο Χατζηδάκη που, σύμφωνα με τον σχεδιασμό της κυβέρνησης, έρχεται προς ψήφιση την επόμενη εβδομάδα.","09.06.2021, 09:28"
Ομοβροντία κατά του «Χατζηθάφτη» της εργασίας, Αντιμέτωπος με ένα διακομματικό τσουνάμι αντιδράσεων απέναντι στο εργασιακό νομοσχέδιο με άρωμα Μεσαίωνα ήρθε χθες στη Βουλή ο υπουργός Εργασίας Κωστής Χατζηδάκης.,"09.06.2021, 06:00"
«Η Ν.Δ. διαλύει το εργατικό δίκαιο», Με επίσκεψη στα ΕΛΤΑ στο Κρυονέρι και συζήτηση με τους εργαζόμενους η Φώφη Γεννηματά έδωσε το στίγμα των θέσεων του ΚΙΝ.ΑΛΛ. ενόψει της αυριανής απεργίας όπου θα δώσει το «παρών».,"09.06.2021, 06:00"
Μαστίγιο και καρότο για τον πλήρη εμβολιασμό," Σε «νέο εμβολιαστικό κύμα» κάλεσε χθες από τη Βουλή ο Κυριάκος Μητσοτάκης, καθώς φαίνεται να διαψεύδονται από τους δείκτες της περιόδου οι προβλέψεις της κυβέρνησης για «τείχος ανοσίας» στην αρχή του...","09.06.2021, 06:00"
Συνάντηση Τσίπρα με ΑΔΕΔΥ," Ο πρόεδρος του ΣΥΡΙΖΑ έκανε λόγο για «ευθεία επίθεση στις εργασιακές σχέσεις με την κατάργηση του 8ωρου», ενώ έβαλε στο τραπέζι και άλλα ζητήματα, όπως ο συνδικαλιστικός νόμος, ο νόμος για τα ΑΕΙ, η συρρίκνωση...","09.06.2021, 06:00"
Πρώτες εσωκομματικές αναταράξεις για το εργασιακό νομοσχέδιο , Τις πρώτες εσωκομματικές ενστάσεις στο αντεργατικό νομοσχέδιο Χατζηδάκη μετρά η Νέα Δημοκρατία.,"08.06.2021, 20:33"
«Η κυβέρνηση μας επιστρέφει στην εποχή των ατομικών συμβάσεων»," Ο πρωθυπουργός πληρώνει όλα τα γραμμάτια των ανακοινώσεων που έκανε στις Γ.Σ. του ΣΕΒ, είπε η Φώφη Γεννηματά, η οποία άσκησε κριτική στο εργασιακό νομοσχέδιο που άρχισε να συζητείται στη Βουλή.","08.06.2021, 16:25"
"Πού πήγε το πάθος για την αλήθεια, συνάδελφοι;"," Για τον υπουργό του οποίου η επαγγελματική καριέρα εξελίχτηκε μόνο μέσα σε κομματικό πυρήνα, δεν χρειάζεται και πολύ ερώτημα για να εξηγήσουμε με πόση ευκολία λέει ανερυθρίαστα ψέματα, όταν επαναλαμβάνει ότι η...","08.06.2021, 16:00"
Χωρίς τρένα την Πέμπτη λόγω απεργίας για το εργασιακό ν/σ," Τη συμμετοχή της στην 24ωρη γενική απεργία της Πέμπτης ανακοίνωσαν οι εργαζόμενοι του ΟΣΕ, με αποτέλεσμα να υπάρξουν ματαιώσεις δρομολογίων αύριο και μεθαύριο.","08.06.2021, 15:43"
Δεμένα πλοία και λουκέτο στα εμπορικά λιμάνια στις 10 Ιουνίου," Δεμένα θα μείνουν τα πλοία στα λιμάνια της χώρας την Πέμπτη 10 Ιουνίου, καθώς 13 ναυτεργατικά σωματεία πραγματοποιούν 24ωρη πανελλαδική απεργία σε όλες τις κατηγορίες των πλοίων. «Λουκέτο» και στα εμπορικά...","08.06.2021, 14:43"
Αλ. Τσίπρας: Η κυβέρνηση θέλει να καταλύσει το δημοκρατικό και κοινωνικό κεκτημένο της Μεταπολίτευσης, Για ευθεία επίθεση στις εργασιακές σχέσεις κατηγόρησε την κυβέρνηση ο πρόεδρος του ΣΥΡΙΖΑ-Π.Σ. κατά τη συνάντησή του με την Εκτελεστική Επιτροπή της ΑΔΕΔΥ.,"08.06.2021, 14:00"
Επικεφαλής η Φώφη στη συγκέντρωση, Αγώνας ουσίας αλλά και ισχυρών συμβολισμών είναι για το Κίνημα Αλλαγής ο επικείμενος γύρω από τα εργασιακά.,"08.06.2021, 11:31"
Κινητοποιήσεις και στην Κρήτη ενάντια στο εργασιακό νομοσχέδιο," Στις απεργιακές κινητοποιήσεις της Πέμπτης 10 Ιουνίου θα συμμετέχουν σωματεία, οργανώσεις και κόμματα της Κρήτης, με αφορμή την ψήφιση του νέου εργασιακού νομοσχεδίου του Υπουργείου Εργασίας.","08.06.2021, 09:30"
Απολύσεις στο Ταμείο Αλληλοβοήθειας του ΥΠΠΟΑ!," Ο Ενιαίος Σύλλογος Υπαλλήλων ΥΠΠΟ Αττικής, Στερεάς και Νήσων καταγγέλλει ότι οι λόγοι της απόλυσης είναι «εκδικητικοί» καθώς αφορούν 7 από τους 35 εργαζομένους που είχαν προσφύγει στο ΣτΕ.","08.06.2021, 06:00"
Ο «Βυσσινόκηπος» στα χρόνια του ανάλγητου νεοφιλελευθερισμού, Με βάση το κλασικό έργο του Τσέχοφ «Ο Βυσσινόκηπος» ο Πρόδρομος Τσινικόρης υφαίνει τη συνέχεια της ιστορίας και την τοποθετεί στο σήμερα.,"07.06.2021, 22:36"
Κ. Νοτοπούλου-Ρέθυμνο: Να στηριχθεί ο τουριστικός κλάδος και οι εργαζόμενοι," Με εκπροσώπους εργαζομένων στον τουρισμό, φορείς, δημάρχους και εκπροσώπους της τοπικής αυτοδιοίκησης, συναντήθηκε η τομεάρχης Τουρισμού του ΣΥΡΙΖΑ Κατερίνα Νοτοπούλου, με στόχο να ενημερωθεί για τα προβλήματα...","07.06.2021, 20:38"
Μοντέλο ΕΦΚΑ για τον ΕΟΠΥΥ," Mοντέλο EΦΚΑ σε ό,τι αφορά την εκχώρηση υπηρεσιών σε ιδιώτες, αλλά για ποσά πολύ μεγαλύτερα από αυτά που μπορεί να ζητήσει ένας λογιστής ή ένας δικηγόρος για την έκδοση μιας καθυστερημένης σύνταξης, φαίνεται...","07.06.2021, 17:26"
Σφοδρές αντιδράσεις για τις απολύσεις στο Ταμείο Αλληλοβοήθειας του ΥΠΠΟ," Oι λόγοι της απόλυσης των 7 εργαζομένων είναι «ξεκάθαρα εκδικητικοί», τονίζει ο Ενιαίος Σύλλογος Υπαλλήλων ΥΠΠΟ Αττικής, ενώ ο ΣΥΡΙΖΑ-ΠΣ κάνει λόγο για «τις πρώτες απολύσεις που πραγματοποιούνται στο δημόσιο...","07.06.2021, 16:23"
Πρωτοφανής «συνδικαλισμός» στην Alpha Bank με αφορμή τον εμβολιασμό κατά της Covid, Με επιστολή τους στη διεύθυνση οι συνδικαλιστές της Alpha Bank ζητούν να τεθούν σε υποχρεωτική άδεια όσοι δεν εμβολιάζονται «ώστε να ωριμάσει η σκέψη τους για την αποδοχή του εμβολιασμού».,"07.06.2021, 12:50"
ΜέΡΑ25: Ο Υπουργός Εργοδοσίας στοχοποιεί τον κόσμο της εργασίας," Πυρών συνέχεια κατά της κυβέρνησης της Ν.Δ. και ειδικά κατά του υπουργού Εργασίας Κωστή Χατζηδάκη, από το ΜέΡΑ25, με αφορμή το εργασιακό νομοσχέδιο.","06.06.2021, 20:57"
Της Αριστεράς...," H κυβέρνηση έχει φέρει τα πάνω κάτω στην ελληνική επικράτεια, οδεύει σταθερά στον αυταρχισμό και στην αποδιάρθρωση της κοινωνίας με τα νομοθετήματά της, που διαλύουν τον εργασιακό ιστό, και η αντιπολίτευση,...","06.06.2021, 11:28"
"Η πάλη των τάξεων, ως κλάσμα"," Nομίζω ότι ο καλύτερος τρόπος για να καταλάβει κανείς το ταξικό βάθος του νομοσχεδίου Χατζηδάκη, την απέχθεια, ενδεχομένως και το μίσος για την εργασία, είναι να κάνουμε μια νοητή μετάβαση στην –προς το παρόν–...","06.06.2021, 11:07"
Επί ποδός για το εργασιακό «έκτρωμα» Χατζηδάκη," Ορόσημο στη μάχη που καλούνται να δώσουν οι εργαζόμενοι ενάντια στο σχέδιο νόμου που καταστρατηγεί τα δικαιώματά τους, η απεργία της 10ης Ιουνίου.","05.06.2021, 12:38"
Νέο πλήγμα στο δικαίωμα της απεργίας, Καυτό δωδεκαήμερο πολιτικής και απεργιακής έντασης με επίκεντρο το Εργασιακό/Συγκρούσεις ανηλίκων: Τα αγριεμένα παιδιά της πόλης/Προανακριτική: Τι θα λέει στο υπόμνημά του ο Νίκος Παππάς.,"05.06.2021, 08:32"
Το δημογραφικό και το εργασιακό," Η επίλυση του δημογραφικού προβλήματος είναι από την πρώτη στιγμή το θέμα πολύ ψηλά στην ατζέντα της κυβέρνησης, είπε η υφυπουργός Εργασίας. Προς στιγμή ένιωσα ότι ζω σε άλλη χώρα, π.χ. στη Σουηδία.","04.06.2021, 16:00"
Η ΟΤΟΕ εκθέτει τα ψέματα του υπουργού Εργασίας," Μέχρι και την τελευταία στιγμή ο υπουργός Εργασίας συνεχίζει να υπεραμύνεται της διάταξής του για υπέρβαση του 8ωρου και διευθέτηση του χρόνου εργασίας με ατομική σύμβαση και όχι με συλλογική, όπως ήδη ισχύει.","04.06.2021, 13:24"
Υποχώρηση μετά την κατακραυγή, Διαβάστε στην «Εφ.Συν.»: Ντόμινο εξελίξεων από το χθεσινό δημοσίευμα της «Εφ.Συν.» • Κατατίθεται το εργασιακό νομοσχέδιο • Ώρα μηδέν για τη φορολόγηση των πολυεθνικών στη σύνοδο του G7,"04.06.2021, 08:00"
Πρόγευση έντασης στο λιμάνι," Εν μέσω καταγγελιών για «ενορχηστρωμένη επίθεση από κυβέρνηση - υπουργείο - εφοπλιστές», η ΠΕΝΕΝ μετέτρεψε την εξαγγελθείσα 24ωρη απεργία σε στάση εργασίας. Στη συνέχεια τα πλοία απέπλευσαν κανονικά.","04.06.2021, 06:00"
Ζήτησαν απόσυρση του νομοσχεδίου Χατζηδάκη και προστασία του 8ώρου, Με το βλέμμα στη γενική απεργία της 10ης Ιουνίου πραγματοποιήθηκαν συλλαλητήρια στην Αθήνα και στη Θεσσαλονίκη κατά του εργασιακού νομοσχεδίου που προωθεί η κυβέρνηση.,"03.06.2021, 19:45"
Σύγκρουση Ξενογιαννακοπούλου με υπ. Εργασίας για τα ρεπό αντί υπερωριών, Για διαστρέβλωση των διατάξεων του νομοσχεδίου και ψέματα για το θέμα των ρεπό αντί πληρωμής των υπερωριών κατηγορεί τον ΣΥΡΙΖΑ-ΠΣ το υπ. Εργασίας. Πραπληροφόρηση και διαστρέβλωση της πραγματικότητας...,"03.06.2021, 19:15"
Χρηστίδης: Ο εργαζόμενος μένει απροστάτευτος με υπογραφή της Ν.Δ.," «Με το εργασιακό νομοσχέδιο η κυβέρνηση απορυθμίζει τις εργασιακές σχέσεις, ισοπεδώνει τα εργασιακά δικαιώματα, υπονομεύει πλήρως τις συλλογικές συμβάσεις, ενισχύει μόνο τους ασύδοτους εργοδότες» τόνισε ο...","03.06.2021, 16:52"
Εν μέσω καταγγελιών ανέστειλε η ΠΕΝΕΝ την 24ωρη απεργία ," Οι ναυτεργάτες πραγματοποίησαν στάση εργασίας μέχρι τις 9 το πρωί. Έτσι κανονικά πραγματοποιούνται τα ακτοπλοϊκά δρομολόγια από το λιμάνι του Πειραιά, ενώ προβλήματα δημιουργήθηκαν μόνο για τα πρωινά...","03.06.2021, 12:15"
